estimate_white,moe_white,estimate_black,estimate_native_american,moe_native_american,estimate_asian,moe_asian,estimate_hawaiian_pacific_islander,moe_hawaiian_pacific_islander,estimate_other,moe_other,estimate_multiple_races,moe_multiple_races,estimate_hispanic_latino_origin,moe_hispanic_latino_origin,estimate_white_not_hispanic,moe_white_not_hispanic,year
52480,83,33578,217,685,67022,416,52776,2767,38230,412,43597,660,40165,147,54168,109,2010
53444,106,33223,226,819,67885,801,49378,2920,37172,295,44115,729,39589,248,55305,104,2011
54729,82,33764,203,600,70644,347,51322,1649,38439,424,44930,674,40417,161,56565,79,2012
55867,106,34815,202,653,72472,609,50591,1921,39346,487,46709,487,41508,182,57684,143,2013
57355,94,35481,167,789,74105,683,52815,2474,40865,303,48424,715,42748,237,59622,116,2014
59698,140,36544,162,939,77368,547,55607,2870,42461,349,51737,460,44782,281,61394,95,2015
61349,88,38555,248,1029,80720,446,57112,3218,44798,495,53114,685,46882,210,63155,127,2016
32522227,110498,9016307,48988,105291,21983211,69515,18482762,62135,3500449,28224,19448444,71762,15030393,68157,4418051,34820,2017
32826819,114875,9169958,47370,83510,22420968,70185,18752797,68913,3668171,31004,19857634,54272,15301276,52778,4556358,36461,2018
33023543,117712,9401774,51684,108781,22875023,76769,19128319,70663,3746704,35926,20333559,74593,15624312,69006,4709247,43820,2019
52480,83,33578,217,685,67022,416,52776,2767,38230,412,43597,660,40165,147,54168,109,2010
53444,106,33223,226,819,67885,801,49378,2920,37172,295,44115,729,39589,248,55305,104,2011
54729,82,33764,203,600,70644,347,51322,1649,38439,424,44930,674,40417,161,56565,79,2012
55867,106,34815,202,653,72472,609,50591,1921,39346,487,46709,487,41508,182,57684,143,2013
57355,94,35481,167,789,74105,683,52815,2474,40865,303,48424,715,42748,237,59622,116,2014
59698,140,36544,162,939,77368,547,55607,2870,42461,349,51737,460,44782,281,61394,95,2015
61349,88,38555,248,1029,80720,446,57112,3218,44798,495,53114,685,46882,210,63155,127,2016
32522227,110498,9016307,48988,105291,21983211,69515,18482762,62135,3500449,28224,19448444,71762,15030393,68157,4418051,34820,2017
32826819,114875,9169958,47370,83510,22420968,70185,18752797,68913,3668171,31004,19857634,54272,15301276,52778,4556358,36461,2018
33023543,117712,9401774,51684,108781,22875023,76769,19128319,70663,3746704,35926,20333559,74593,15624312,69006,4709247,43820,2019
52480,83,33578,217,685,67022,416,52776,2767,38230,412,43597,660,40165,147,54168,109,2010
53444,106,33223,226,819,67885,801,49378,2920,37172,295,44115,729,39589,248,55305,104,2011
54729,82,33764,203,600,70644,347,51322,1649,38439,424,44930,674,40417,161,56565,79,2012
55867,106,34815,202,653,72472,609,50591,1921,39346,487,46709,487,41508,182,57684,143,2013
57355,94,35481,167,789,74105,683,52815,2474,40865,303,48424,715,42748,237,59622,116,2014
59698,140,36544,162,939,77368,547,55607,2870,42461,349,51737,460,44782,281,61394,95,2015
61349,88,38555,248,1029,80720,446,57112,3218,44798,495,53114,685,46882,210,63155,127,2016
32522227,110498,9016307,48988,105291,21983211,69515,18482762,62135,3500449,28224,19448444,71762,15030393,68157,4418051,34820,2017
32826819,114875,9169958,47370,83510,22420968,70185,18752797,68913,3668171,31004,19857634,54272,15301276,52778,4556358,36461,2018
33023543,117712,9401774,51684,108781,22875023,76769,19128319,70663,3746704,35926,20333559,74593,15624312,69006,4709247,43820,2019
52480,83,33578,217,685,67022,416,52776,2767,38230,412,43597,660,40165,147,54168,109,2010
53444,106,33223,226,819,67885,801,49378,2920,37172,295,44115,729,39589,248,55305,104,2011
54729,82,33764,203,600,70644,347,51322,1649,38439,424,44930,674,40417,161,56565,79,2012
55867,106,34815,202,653,72472,609,50591,1921,39346,487,46709,487,41508,182,57684,143,2013
57355,94,35481,167,789,74105,683,52815,2474,40865,303,48424,715,42748,237,59622,116,2014
59698,140,36544,162,939,77368,547,55607,2870,42461,349,51737,460,44782,281,61394,95,2015
61349,88,38555,248,1029,80720,446,57112,3218,44798,495,53114,685,46882,210,63155,127,2016
32522227,110498,9016307,48988,105291,21983211,69515,18482762,62135,3500449,28224,19448444,71762,15030393,68157,4418051,34820,2017
32826819,114875,9169958,47370,83510,22420968,70185,18752797,68913,3668171,31004,19857634,54272,15301276,52778,4556358,36461,2018
33023543,117712,9401774,51684,108781,22875023,76769,19128319,70663,3746704,35926,20333559,74593,15624312,69006,4709247,43820,2019
