estimate_household_income_15_to_24,moe_household_income_15_to_24,estimate_household_income_25_to_44,moe_household_income_25_to_44,estimate_household_income_45_to_64,moe_household_income_45_to_64,estimate_household_income_65_plus,moe_household_income_65_plus,year
4.3,0.1,34.1,0.1,39.9,0.1,21.7,0.1,2010
4.1,0.1,33.7,0.1,40.1,0.1,22.1,0.1,2011
4,0.1,33.3,0.1,39.8,0.1,22.9,0.1,2012
3.9,0.1,33.1,0.1,39.6,0.1,23.4,0.1,2013
3.8,0.1,32.8,0.1,39.4,0.1,24,0.1,2014
3.8,0.1,32.5,0.1,39.2,0.1,24.5,0.1,2015
3.7,0.1,32.2,0.1,39,0.1,25.1,0.1,2016
4334161,36961,38660668,72930,46375863,71358,30692126,54283,2017
4423535,40847,39170027,83062,46083717,67931,31842901,47704,2018
4414628,40315,39566619,72371,45826277,62251,32995328,52105,2019
4.3,0.1,34.1,0.1,39.9,0.1,21.7,0.1,2010
4.1,0.1,33.7,0.1,40.1,0.1,22.1,0.1,2011
4,0.1,33.3,0.1,39.8,0.1,22.9,0.1,2012
3.9,0.1,33.1,0.1,39.6,0.1,23.4,0.1,2013
3.8,0.1,32.8,0.1,39.4,0.1,24,0.1,2014
3.8,0.1,32.5,0.1,39.2,0.1,24.5,0.1,2015
3.7,0.1,32.2,0.1,39,0.1,25.1,0.1,2016
4334161,36961,38660668,72930,46375863,71358,30692126,54283,2017
4423535,40847,39170027,83062,46083717,67931,31842901,47704,2018
4414628,40315,39566619,72371,45826277,62251,32995328,52105,2019
4.3,0.1,34.1,0.1,39.9,0.1,21.7,0.1,2010
4.1,0.1,33.7,0.1,40.1,0.1,22.1,0.1,2011
4,0.1,33.3,0.1,39.8,0.1,22.9,0.1,2012
3.9,0.1,33.1,0.1,39.6,0.1,23.4,0.1,2013
3.8,0.1,32.8,0.1,39.4,0.1,24,0.1,2014
3.8,0.1,32.5,0.1,39.2,0.1,24.5,0.1,2015
3.7,0.1,32.2,0.1,39,0.1,25.1,0.1,2016
4334161,36961,38660668,72930,46375863,71358,30692126,54283,2017
4423535,40847,39170027,83062,46083717,67931,31842901,47704,2018
4414628,40315,39566619,72371,45826277,62251,32995328,52105,2019
4.3,0.1,34.1,0.1,39.9,0.1,21.7,0.1,2010
4.1,0.1,33.7,0.1,40.1,0.1,22.1,0.1,2011
4,0.1,33.3,0.1,39.8,0.1,22.9,0.1,2012
3.9,0.1,33.1,0.1,39.6,0.1,23.4,0.1,2013
3.8,0.1,32.8,0.1,39.4,0.1,24,0.1,2014
3.8,0.1,32.5,0.1,39.2,0.1,24.5,0.1,2015
3.7,0.1,32.2,0.1,39,0.1,25.1,0.1,2016
4334161,36961,38660668,72930,46375863,71358,30692126,54283,2017
4423535,40847,39170027,83062,46083717,67931,31842901,47704,2018
4414628,40315,39566619,72371,45826277,62251,32995328,52105,2019
