estimate_family_female,moe_family_female,estimate_nonfamily_female,moe_nonfamily_female,estimate_nonfamily_female_alone,moe_nonfamily_female_alone,estimate_nonfamily_female_shared,moe_nonfamily_female_shared,year
19.7,0.1,53.7,0.1,45.5,0.1,8.2,0.1,2010
19.9,0.1,53.7,0.1,45.7,0.1,8,0.1,2011
19.8,0.1,53.5,0.1,45.4,0.1,8,0.1,2012
19.8,0.1,53.4,0.1,45.2,0.1,8.2,0.1,2013
19.8,0.1,53.3,0.1,45,0.1,8.2,0.1,2014
19.5,0.1,53.3,0.1,44.9,0.1,8.4,0.1,2015
19.3,0.1,53.2,0.1,44.8,0.1,8.4,0.1,2016
22334270,78325,5886661,42613,2723009,26934,,,2017
22257765,82986,6005379,39486,2740506,31175,37303940,116228,2018
22055657,82876,6167908,48817,2782689,31101,37600654,125339,2019
19.7,0.1,53.7,0.1,45.5,0.1,8.2,0.1,2010
19.9,0.1,53.7,0.1,45.7,0.1,8,0.1,2011
19.8,0.1,53.5,0.1,45.4,0.1,8,0.1,2012
19.8,0.1,53.4,0.1,45.2,0.1,8.2,0.1,2013
19.8,0.1,53.3,0.1,45,0.1,8.2,0.1,2014
19.5,0.1,53.3,0.1,44.9,0.1,8.4,0.1,2015
19.3,0.1,53.2,0.1,44.8,0.1,8.4,0.1,2016
22334270,78325,5886661,42613,2723009,26934,,,2017
22257765,82986,6005379,39486,2740506,31175,37303940,116228,2018
22055657,82876,6167908,48817,2782689,31101,37600654,125339,2019
19.7,0.1,53.7,0.1,45.5,0.1,8.2,0.1,2010
19.9,0.1,53.7,0.1,45.7,0.1,8,0.1,2011
19.8,0.1,53.5,0.1,45.4,0.1,8,0.1,2012
19.8,0.1,53.4,0.1,45.2,0.1,8.2,0.1,2013
19.8,0.1,53.3,0.1,45,0.1,8.2,0.1,2014
19.5,0.1,53.3,0.1,44.9,0.1,8.4,0.1,2015
19.3,0.1,53.2,0.1,44.8,0.1,8.4,0.1,2016
22334270,78325,5886661,42613,2723009,26934,,,2017
22257765,82986,6005379,39486,2740506,31175,37303940,116228,2018
22055657,82876,6167908,48817,2782689,31101,37600654,125339,2019
19.7,0.1,53.7,0.1,45.5,0.1,8.2,0.1,2010
19.9,0.1,53.7,0.1,45.7,0.1,8,0.1,2011
19.8,0.1,53.5,0.1,45.4,0.1,8,0.1,2012
19.8,0.1,53.4,0.1,45.2,0.1,8.2,0.1,2013
19.8,0.1,53.3,0.1,45,0.1,8.2,0.1,2014
19.5,0.1,53.3,0.1,44.9,0.1,8.4,0.1,2015
19.3,0.1,53.2,0.1,44.8,0.1,8.4,0.1,2016
22334270,78325,5886661,42613,2723009,26934,,,2017
22257765,82986,6005379,39486,2740506,31175,37303940,116228,2018
22055657,82876,6167908,48817,2782689,31101,37600654,125339,2019
